46.09273	-88.64235	IronRiver	US	America/Menominee
31.28092	74.85849	Patti	IN	Asia/Kolkata
46.65581	32.6178	Kherson	UA	Europe/Kiev
32.9156	-117.14392	MiraMesa	US	America/Los_Angeles
15.45144	78.14797	Betamcherla	IN	Asia/Kolkata
43.4125	23.225	Montana	BG	Europe/Sofia
65.84811	24.14662	Tornio	FI	Europe/Helsinki
54.39635	24.04142	Alytus	LT	Europe/Vilnius
35.815	139.6853	Shimotoda	JP	Asia/Tokyo
26.76628	83.36889	Gorakhpur	IN	Asia/Kolkata
47.4943	-122.24092	BrynMawr-Skyway	US	America/Los_Angeles
38.06084	-97.92977	Hutchinson	US	America/Chicago
42.16808	-88.42814	Huntley	US	America/Chicago
50.82882	-0.32247	Lancing	GB	Europe/London
36.75965	137.36215	Namerikawa	JP	Asia/Tokyo
-1.26753	116.82887	Balikpapan	ID	Asia/Makassar
68.79833	16.54165	Harstad	NO	Europe/Oslo
33.72255	-116.37697	PalmDesert	US	America/Los_Angeles
44.99012	-123.02621	Keizer	US	America/Los_Angeles
53.6052	10.03988	Barmbek-Nord	DE	Europe/Berlin
47.46657	84.87144	Zaysan	KZ	Asia/Almaty
23.02677	113.13148	Foshan	CN	Asia/Shanghai
49.28669	1.00288	Elbeuf	FR	Europe/Paris
35.85	117.7	Dongdu	CN	Asia/Shanghai
46.75451	33.34864	NovaKakhovka	UA	Europe/Kiev
45.40008	-73.58248	Sainte-Catherine	CA	America/Toronto
32.57756	71.52847	Mianwali	PK	Asia/Karachi
35.88264	-80.08199	Thomasville	US	America/New_York
43.31667	-2.68333	Gernika-Lumo	ES	Europe/Madrid
40.65995	-111.99633	Kearns	US	America/Denver
-13.7804	34.4587	Salima	MW	Africa/Blantyre
-0.35817	42.54536	Kismayo	SO	Africa/Mogadishu
31.12406	-97.90308	CopperasCove	US	America/Chicago
16.0438	120.4861	Manaoag	PH	Asia/Manila
32.42067	-104.22884	Carlsbad	US	America/Denver
45.35	126.28333	Shuangcheng	CN	Asia/Shanghai
51.62907	-0.74934	HighWycombe	GB	Europe/London
0.76755	24.43973	Yangambi	CD	Africa/Lubumbashi
39.22493	42.85693	Patnos	TR	Europe/Istanbul
-25.42778	-49.27306	Curitiba	BR	America/Sao_Paulo
36.91023	-121.75689	Watsonville	US	America/Los_Angeles
47.92526	-97.03285	GrandForks	US	America/Chicago
58.63667	59.80222	Lesnoy	RU	Asia/Yekaterinburg
5.30383	-1.98956	Tarkwa	GH	Africa/Accra
36.65	138.31667	Suzaka	JP	Asia/Tokyo
6.8485	3.64633	Shagamu	NG	Africa/Lagos
0.49113	29.47306	Beni	CD	Africa/Lubumbashi
-1.6	103.61667	JambiCity	ID	Asia/Jakarta
36.64852	51.49621	Nowshahr	IR	Asia/Tehran
51.35084	-1.99421	Devizes	GB	Europe/London
14.95472	120.89694	Baliuag	PH	Asia/Manila
41.1053	-7.32097	Custoias	PT	Europe/Lisbon
47.38093	-122.23484	Kent	US	America/Los_Angeles
48.06919	11.37703	Gauting	DE	Europe/Berlin
5.4709	100.24529	BatuFeringgi	MY	Asia/Kuala_Lumpur
36.75965	137.36215	Namerikawa	JP	Asia/Tokyo
43.78956	7.60872	Ventimiglia	IT	Europe/Rome
43.1009	-75.23266	Utica	US	America/New_York
-21.15	46.58333	Ikalamavony	MG	Indian/Antananarivo
60.18427	24.95034	Kallio	FI	Europe/Helsinki
-25.42944	-50.00639	Palmeira	BR	America/Sao_Paulo
33.98154	-81.23621	Lexington	US	America/New_York
47.4943	-122.24092	BrynMawr-Skyway	US	America/Los_Angeles
19.04222	-98.11889	CasaBlanca	MX	America/Mexico_City
20.88953	-156.47432	Kahului	US	Pacific/Honolulu
-31.95224	115.8614	Perth	AU	Australia/Perth
42.8334	-80.38297	NorfolkCounty	CA	America/Toronto
13.8196	100.04427	NakhonPathom	TH	Asia/Bangkok
42.52787	-70.92866	Peabody	US	America/New_York
29.21399	78.95693	Kashipur	IN	Asia/Kolkata
35.95664	36.7138	Binnish	SY	Asia/Damascus
41.6764	-91.58045	Coralville	US	America/Chicago
